tweet,candidate,label,label_num
vamo Aécio #AecioPelaMudanca,Aecio,aprovacao_completa,1
"O PT roubou, o eleitor cansou e mudou....agora é Aécio #AecioPelaMudança",Aecio,aprovacao_completa,1
"Hoje no começo da noite, depois de meia hora de conversa, conquistei mais um voto de uma indecisa pra Dilma. Satisfação. #Dia5Sou13deNovo",Dilma,aprovacao_completa,1
Voto Marina para a próxima garota propaganda da TopTerm. #Eleições2014 #DebateDaGlobo #Eleicoes2014 #DebateaNaGlobo,Marina,aprovacao_completa,1
"Aécio na frente, é a hora! #AgoraEAecio45Confirma",Aecio,aprovacao_completa,1
Tudo o q desejo nesse próximo domingo é #Dilma no 1º turno #BrasilComDilma13,Dilma,aprovacao_completa,1
"Aecio forte no exterior
#AgoraEAecio45Confirma
Lá vai decidir
Pode crer ...",Aecio,aprovacao_completa,1
#DêSeuMáximo #Marina40 #marinasilva  União é força.Me segue sigo todos de volta.,Marina,aprovacao_completa,1
#SamosTodosDilma um debate para não mudar os rumos da eleição. Dilma reeleita!,Dilma,aprovacao_completa,1
@reynan_rj @AnjoNpi @AecioNeves NÃO SOMOS IRMÃOS DE SANGUE DOS NORDESTINOS MAS SOMOS IRMÃOS DE PÁTRIA!!#Aecio45PeloBrasil MUDANÇA JÁ!!!!!!,Aecio,aprovacao_completa,1
Tomara que o @AecioNeves parta para cima dela conforme prega o professor @OdeCarvalho #VotoAecioPeloBR45IL #VEJAoDesesperoDoPT,Aecio,aprovacao_completa,1
"#MarinaSilva não vai governar autoritariamente contra o povo, e sim democraticamente em favor do povo! #SouMarina40 !",Marina,aprovacao_completa,1
TO COM AÉCIO E NÃO ABRO! #AecioPeloBR45IL,Aecio,aprovacao_completa,1
Taca lê Pau Aécio velho! 4⃣5⃣ #forapt,Aecio,aprovacao_completa,1
REDE GLOBO AMANHA VCS QUERENDO OU NÃO TERÃO QUE ANUNCIAR DILMA FOI REELEITA #GolpeNoJN,Dilma,aprovacao_completa,1
"A #MarinaSilva é uma pessoa de caráter, passado limpo, com princípios. Por isso voto nela! #Brasil",Marina,aprovacao_completa,1
"Acho que Aécio está preparando uma surpresa para o próximo debate!
#EmTodoBrasilAecio45",Aecio,aprovacao_completa,1
"@hemeson02 A MILITÂNCIA TÁ FORTE, UNIDA E VAI ATÉ O FIM COM O BRASIL E DILMA... #DilmaNaCabeça... #DilmaNoCoração.",Dilma,aprovacao_completa,1
Não vamos desistir do Brasil!!! #MarinaSilva #Marina40,Marina,aprovacao_completa,1
"@AecioNeves Quem olha muito para o passado, quer fugir do presente ou não tem o que debater para o futuro #DebateNaGlobo. #Aecio45PeloBrasil",Aecio,aprovacao_completa,1
"""Lamento que a candidata não tenha entendido nada que eu falei"" - Aécio 
 #AgoraÉAécioBrasil hahahah chamou de jumenta mesmo ! Amei",Aecio,aprovacao_completa,1
#Dilma arrebentou!!!É #13!!!,Dilma,aprovacao_completa,1
#EUVOTEIMARINA40  Vamos mudar o Brasil juntos com #MarinaSilva,Marina,aprovacao_completa,1
#EmTodoBrasilAecio45 Aécio para mudar o Brasil,Aecio,aprovacao_completa,1
"#Dilma13MudaMais. 
Dilma 13 tem meu voto.",Dilma,aprovacao_completa,1
#AgoraEAecio45Confirma ESTAMOS CHEGANDO LÁ AÉCIO VAI LEVAR ESSA SE DEUS QUISER E ELE QUER AÉCIO EM BRASÍLIA,Aecio,aprovacao_completa,1
"Domingo é o dia ao qual o Brasil verá a mudança!!!

#MarinaSilva",Marina,aprovacao_completa,1
"Dilma: ""Ressuscitamos a indústria naval. Chegamos a julho deste ano a 81 mil empregos"" #Dilma13DeNovo #DilmaisFuturo Dilma 13 ReEleita 2014",Dilma,aprovacao_completa,1
"Planejamento é mudança, é @AecioNeves!! #SomosAecio45 #DebateDaBand",Aecio,aprovacao_completa,1
"#MalafaiaNaoAprendeu que não quero seu ódio, sou da paz! E voto Dilma 13!",Dilma,aprovacao_completa,1
A nossa futura Presidente Marina Silva já se encontra no Face. #soumarina40 #equipemarina #marinasilva,Marina,aprovacao_completa,1
Hoje eh @AecioNeves pra mudar o Brasil. Viajar 1000km pra ajudar a mudar o Brasil! #AecioPelaMudanca #Aecio45 #AecioPresidente,Aecio,aprovacao_completa,1
"#AecioPelaMudança sem dúvidas,  o Aécio é o mais preparado",Aecio,aprovacao_completa,1
"#SomosTodosDilma Dilma coração valente!! Dia 26 voto Dilma, voto PT, voto 13!!!",Dilma,aprovacao_completa,1
"Só sei uma coisa: Marinar vou eu votar na Marina, Marina  #Marina40 #MarinaSilva",Marina,aprovacao_completa,1
#EmTodoBrasilAecio45 Uhulll Fora Petralhas! Fora Fora Fora! Aécio Presidente Vote 45,Aecio,aprovacao_completa,1
aceitem a Dilma já ganhou #EMABiggestFans1D,Dilma,aprovacao_completa,1
#EUVOTEIMARINA40  Rumo ao 2 turno com #MarinaSilva,Marina,aprovacao_completa,1
Peço á todos GLBTT's que votem na #MarinaSilva como forma de protesto contra o PT ! #BrasilMarina40 Porque também houve manifestação GLBTT.,Marina,aprovacao_completa,1
"Bom dia ...!!! Acredito em Aécio Neves, com certeza e o melhor para o Brasil.....#45#·",Aecio,aprovacao_completa,1
"@AecioNeves 
Conte com quem acredita no Brasil! Conte com minha campanha pessoal. O Brasil precisa de gente séria! #AecioPresidente #ForaPT",Aecio,aprovacao_completa,1
@dilmabr #SomosTodosDilma #HarryPotter O chapéu seletor escolheu a para o Brasil.,Dilma,aprovacao_completa,1
#MarinaSilva VITÓRIA!!,Marina,aprovacao_completa,1
@DiogoSantosCRF @FCHialley Muda Brasil Com Aécio Presidente #Aecio45PeloBrasil,Aecio,aprovacao_completa,1
SOU DILMA SEMPRE #Dilma13MaisFuturo #Dilma13MaisFuturo #Dilma13MaisFuturo #Dilma13MaisFuturo !!!!,Dilma,aprovacao_completa,1
